epoch,accuracy,dice_coef,learning_rate,loss,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9225874543190002,0.23042257130146027,0.0010000000474974513,0.41799643635749817,0.4442104995250702,0.9153934717178345,0.8302099108695984,0.9944445490837097,0.9812589883804321,0.2663154900074005,0.11634217202663422,0.48675206303596497,0.9812245965003967,0.9797429442405701,0.9938249588012695
1,0.9807812571525574,0.2536785304546356,0.0010000000474974513,0.16259144246578217,0.5608410835266113,0.9806708097457886,0.9806407690048218,0.9935628175735474,0.9813064932823181,0.2553843855857849,0.18873992562294006,0.40090787410736084,0.9869787693023682,0.9558820128440857,0.9957277178764343
2,0.9850877523422241,0.2570229768753052,0.0010000000474974513,0.1731404960155487,0.6234965324401855,0.9877809286117554,0.9730794429779053,0.9958946704864502,0.9812590479850769,0.2601619362831116,0.10453184694051743,0.5184318423271179,0.9810546636581421,0.9809731245040894,0.9937272071838379
3,0.9822677969932556,0.2511867880821228,0.0010000000474974513,0.23002129793167114,0.5485053658485413,0.9821953177452087,0.9675748944282532,0.9941943883895874,0.9812590479850769,0.24915452301502228,0.3500988781452179,0.7535653114318848,0.9812483787536621,0.9812746644020081,0.9937511086463928
4,0.9776777625083923,0.262696236371994,0.0010000000474974513,0.1406656801700592,0.6974931955337524,0.9773425459861755,0.9742171764373779,0.9925334453582764,0.9812589883804321,0.2696599066257477,0.08723717927932739,0.7657803297042847,0.9810647964477539,0.981083333492279,0.9937258362770081
5,0.9787389039993286,0.2760127782821655,0.0010000000474974513,0.10975704342126846,0.7400420904159546,0.9785367250442505,0.9779303669929504,0.9928922653198242,0.9812592267990112,0.2649174928665161,0.11975005269050598,0.7606191635131836,0.98105788230896,0.9810603260993958,0.9937232732772827
6,0.9695442914962769,0.2683731019496918,0.0010000000474974513,0.15938864648342133,0.6432552337646484,0.9733875393867493,0.9513254761695862,0.9911310076713562,0.9812590479850769,0.2700459957122803,0.12195002287626266,0.6556066274642944,0.9823167324066162,0.9758679270744324,0.9942377209663391
7,0.9756655693054199,0.27762526273727417,0.00020000000949949026,0.12826885282993317,0.6919791102409363,0.9751453399658203,0.9722105264663696,0.9917775392532349,0.9812589883804321,0.2741527557373047,0.09579058736562729,0.738011360168457,0.9808715581893921,0.9804666638374329,0.9937037825584412
8,0.9822660684585571,0.27088919281959534,0.00020000000949949026,0.09295486658811569,0.7839018106460571,0.981991708278656,0.9820182919502258,0.9940292239189148,0.9812591671943665,0.2686038315296173,0.08605091273784637,0.8002198934555054,0.981107234954834,0.9811346530914307,0.9937314391136169
9,0.9776529669761658,0.2713322937488556,0.00020000000949949026,0.10233413428068161,0.7409656047821045,0.9773312211036682,0.9772443175315857,0.9925030469894409,0.9812589883804321,0.2725842297077179,0.08471541851758957,0.6968530416488647,0.9809499979019165,0.98096764087677,0.9936999678611755
10,0.9793960452079773,0.271450400352478,0.00020000000949949026,0.09302990138530731,0.7306252121925354,0.9790636897087097,0.979063868522644,0.9930741190910339,0.9812592267990112,0.27152690291404724,0.07965642213821411,0.749420702457428,0.9810655117034912,0.9810930490493774,0.9937242865562439
11,0.9762962460517883,0.27691060304641724,0.00020000000949949026,0.08990777283906937,0.7395305633544922,0.9760003685951233,0.9760283827781677,0.9920551180839539,0.9812589883804321,0.2760501205921173,0.07957489043474197,0.6958367228507996,0.9809762835502625,0.9809945821762085,0.9937029480934143
12,0.9811620116233826,0.2703746557235718,0.00020000000949949026,0.09125015139579773,0.6921918392181396,0.9809268116950989,0.980925440788269,0.9936784505844116,0.9812593460083008,0.27749913930892944,0.08016777783632278,0.7113536596298218,0.9809638261795044,0.9809592962265015,0.9937030673027039
13,0.9787895083427429,0.2730925381183624,4.0000002627493814e-05,0.0993214026093483,0.7170411944389343,0.9785735011100769,0.9785518646240234,0.9928920269012451,0.9812591671943665,0.2777150571346283,0.0793602392077446,0.7219849824905396,0.9809719920158386,0.9809755086898804,0.993704080581665
14,0.980187177658081,0.28033456206321716,4.0000002627493814e-05,0.08017293363809586,0.7328804135322571,0.9799257516860962,0.9799503684043884,0.9933353662490845,0.9812592267990112,0.27767565846443176,0.07809858024120331,0.7368578314781189,0.9809932112693787,0.9810084700584412,0.9937072992324829
15,0.9853792190551758,0.2736375033855438,4.0000002627493814e-05,0.07045885175466537,0.7483058571815491,0.9851790070533752,0.9851033687591553,0.9950915575027466,0.9812591671943665,0.27709320187568665,0.07729507237672806,0.7512394785881042,0.9810295104980469,0.9810498356819153,0.9937145113945007
16,0.9824278354644775,0.27432435750961304,4.0000002627493814e-05,0.07853368669748306,0.7597190141677856,0.9822186231613159,0.9822429418563843,0.9941006898880005,0.9812589883804321,0.2768125534057617,0.07696027308702469,0.7517639994621277,0.9810407757759094,0.9810621738433838,0.9937163591384888
17,0.9810961484909058,0.27035605907440186,4.0000002627493814e-05,0.083206906914711,0.7555707097053528,0.9809439778327942,0.9809602499008179,0.9936678409576416,0.9812591671943665,0.2765869200229645,0.07691851258277893,0.7571865916252136,0.981052577495575,0.9810747504234314,0.9937190413475037
18,0.9836974740028381,0.26905888319015503,4.0000002627493814e-05,0.07393008470535278,0.7587463855743408,0.9835599660873413,0.9835776090621948,0.9945400953292847,0.9812590479850769,0.277252733707428,0.07649651169776917,0.7399252653121948,0.9810324907302856,0.9810534119606018,0.9937146306037903
19,0.9869789481163025,0.2683568596839905,4.0000002627493814e-05,0.06699904054403305,0.735750138759613,0.9868748784065247,0.9868807196617126,0.9956365823745728,0.9812591671943665,0.277200847864151,0.07656479626893997,0.7344014644622803,0.9810327291488647,0.9810536503791809,0.9937140941619873
20,0.987995445728302,0.2746901512145996,4.0000002627493814e-05,0.05370938032865524,0.7414559125900269,0.9878121614456177,0.9878343939781189,0.9959622621536255,0.9812590479850769,0.27689841389656067,0.07671107351779938,0.74651700258255,0.9810531139373779,0.9810754060745239,0.9937180280685425
21,0.9796942472457886,0.27668675780296326,8.000000889296643e-06,0.08468873053789139,0.7515239715576172,0.9794500470161438,0.9794712066650391,0.993177056312561,0.9812588691711426,0.27681416273117065,0.07684271782636642,0.7489375472068787,0.9810575246810913,0.9810800552368164,0.9937187433242798
22,0.9832621812820435,0.27386441826820374,8.000000889296643e-06,0.07814931869506836,0.7541536688804626,0.9830675721168518,0.9830800294876099,0.9943835139274597,0.9812589883804321,0.27668455243110657,0.07702765613794327,0.7511565685272217,0.9810622930526733,0.9810850620269775,0.9937194585800171
23,0.9830644726753235,0.26416948437690735,1.6000001323845936e-06,0.08684217929840088,0.7460083961486816,0.9830046892166138,0.9830233454704285,0.9943445920944214,0.9812588691711426,0.2767462432384491,0.07699273526668549,0.750257134437561,0.9810605645179749,0.9810830354690552,0.9937192797660828
24,0.9805468916893005,0.2745400667190552,1.6000001323845936e-06,0.08180772513151169,0.7567873597145081,0.9803863763809204,0.9804174304008484,0.99347984790802,0.9812592267990112,0.276783287525177,0.076930932700634,0.74900883436203,0.9810594320297241,0.9810816049575806,0.9937187433242798
25,0.9870312213897705,0.269354909658432,9.999999974752427e-07,0.06221020594239235,0.7469468116760254,0.986948549747467,0.986970067024231,0.9956618547439575,0.9812592267990112,0.2767985463142395,0.07690833508968353,0.7486017942428589,0.9810585975646973,0.9810807704925537,0.9937189221382141
26,0.9790566563606262,0.2757270634174347,9.999999974752427e-07,0.09293686598539352,0.7488211393356323,0.978904128074646,0.9789441227912903,0.9929918646812439,0.9812590479850769,0.2768176198005676,0.0768841952085495,0.7482978105545044,0.98105788230896,0.9810799360275269,0.9937189221382141
27,0.9803711175918579,0.27601587772369385,9.999999974752427e-07,0.0799606665968895,0.7450540661811829,0.9800738096237183,0.9801023602485657,0.9934055805206299,0.9812589883804321,0.2768344283103943,0.07686087489128113,0.7479979395866394,0.981057345867157,0.9810796976089478,0.9937187433242798
28,0.9806169867515564,0.2761756479740143,9.999999974752427e-07,0.07963254302740097,0.7519921064376831,0.9804338216781616,0.9804317951202393,0.9934980869293213,0.9812591671943665,0.27686363458633423,0.07683189958333969,0.7475464344024658,0.981056809425354,0.9810789823532104,0.9937185049057007
29,0.9820523262023926,0.2716653048992157,9.999999974752427e-07,0.08154965192079544,0.7471686601638794,0.981910765171051,0.9819422960281372,0.9939864277839661,0.9812590479850769,0.2768831253051758,0.07681989669799805,0.7472485303878784,0.9810563921928406,0.9810786843299866,0.9937185049057007
30,0.9859919548034668,0.26486867666244507,9.999999974752427e-07,0.07017718255519867,0.7462775707244873,0.985863447189331,0.9858807325363159,0.995304524898529,0.9812589883804321,0.2768927216529846,0.07682692259550095,0.7471418380737305,0.9810560941696167,0.9810780882835388,0.9937183260917664
31,0.9775972366333008,0.27764692902565,9.999999974752427e-07,0.0905781090259552,0.748989462852478,0.9774446487426758,0.977461040019989,0.992494523525238,0.9812589883804321,0.27690982818603516,0.07680048793554306,0.746727466583252,0.9810553789138794,0.9810776710510254,0.9937184453010559
32,0.9882041811943054,0.26986411213874817,9.999999974752427e-07,0.05825164169073105,0.7477965354919434,0.9879873991012573,0.9880086183547974,0.996031641960144,0.9812589883804321,0.276903361082077,0.07678736001253128,0.7466685771942139,0.9810559153556824,0.9810779690742493,0.9937183260917664
33,0.9756812453269958,0.2704777121543884,9.999999974752427e-07,0.11668454110622406,0.7531371116638184,0.9755069017410278,0.9755511283874512,0.9918615221977234,0.9812589883804321,0.27691224217414856,0.07676458358764648,0.7463628053665161,0.9810553789138794,0.9810775518417358,0.9937182068824768
34,0.9790414571762085,0.2774375379085541,9.999999974752427e-07,0.08772231638431549,0.7488085627555847,0.9788646101951599,0.9789103269577026,0.992979109287262,0.9812590479850769,0.2769549489021301,0.07673290371894836,0.7458975315093994,0.9810544848442078,0.9810764193534851,0.993718147277832
